family_id,role,id,text,family_code,anchor,variant,variant_IPA,diff_from_anchor,layer,boundary_expected,place_change,manner_change,strength_change,voicing_change,height_change,backness_change,rounding_change,glide_change,onset,coda,syllable_change,tensification,liquidization,cluster_restructuring,vowel_adaptation,rule_licensed,notes
f00,anchor,a1,르크루제,f00,르크루제,르크루제,ɾɯ.kʰɯ.ɾu.dʑe,(anchor),anchor,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,원형
f00,variant,v1,르쿠르제,f00,르크루제,르쿠르제,ɾɯ.ku.ɾɯ.dʑe,kʰɯ.ɾu→ku.ɾɯ,L1,안쪽,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,"2음절 kʰ→k, 2·3음절 모음 ɯ↔u 교차"
f00,variant,v2,리크루제,f00,르크루제,리크루제,ɾi.kʰɯ.ɾu.dʑe,ɾɯ→ɾi,L1,안쪽,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1음절 ɯ→i backness
f00,variant,v3,르크루세,f00,르크루제,르크루세,ɾɯ.kʰɯ.ɾu.se,dʑe→se,L1,안쪽,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,4음절 dʑ→s place+manner+voicing
f00,variant,v4,르크르제,f00,르크루제,르크르제,ɾɯ.kʰɯ.ɾɯ.dʑe,ɾu→ɾɯ,L2,안쪽,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,3음절 u→ɯ 중화 (backness+rounding)
f00,variant,v5,르쿠루제,f00,르크루제,르쿠루제,ɾɯ.ku.ɾu.dʑe,kʰɯ→ku,L1,안쪽,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,"2음절 kʰ→k strength, ɯ→u rounding"
f00,variant,v6,루크르제,f00,르크루제,루크르제,ɾu.kʰɯ.ɾɯ.dʑe,ɾɯ.ɾu→ɾu.ɾɯ,L2,경계근처,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,1·3음절 모음 위치 교차 (metathesis-like)
f00,variant,v7,르꾸루제,f00,르크루제,르꾸루제,ɾɯ.k͈u.ɾu.dʑe,kʰɯ→k͈u,L3,안쪽,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2음절 경음화+rounding (tensification)
f00,variant,v8,레크루제,f00,르크루제,레크루제,ɾe.kʰɯ.ɾu.dʑe,ɾɯ→ɾe,L3,안쪽,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,"1음절 ɯ→e, French 'le' 재해석"
f00,variant,v9,르크루쥐,f00,르크루제,르크루쥐,ɾɯ.kʰɯ.ɾu.dʑy,dʑe→dʑy,L3,안쪽,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,"4음절 e→y, French '-et' 재해석"
f00,variant,v10,리꾸루줴,f00,르크루제,리꾸루줴,ɾi.k͈u.ɾu.dʑwe,다중,L1+L3,바깥,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,변수 누적 (backness+경음+rounding+glide)
f00,variant,v11,르크루쩨,f00,르크루제,르크루쩨,ɾɯ.kʰɯ.ɾu.t͈ɕe,dʑe→t͈ɕe,L3 극단,바깥,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4음절 경음 affricate화 — 이질적
